League,Y,Franchise,Team,G,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS
NBA,1998,Charlotte Hornets,CHA,50,1671,3718,0.45,268,735,0.36,1034,1384,0.75,480,1493,1973,1110,443,247,796,1101,4644,33.4,74.4,0.45,5.4,14.7,0.36,20.7,27.7,0.75,9.6,29.9,39.5,22.2,8.9,4.9,15.9,22.0,92.9
NBA,1998,Chicago Bulls,CHI,50,1539,3837,0.4,177,612,0.29,840,1185,0.71,573,1394,1967,1017,436,169,774,1112,4095,30.8,76.7,0.4,3.5,12.2,0.29,16.8,23.7,0.71,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9
NBA,1998,Cleveland Cavaliers,CLE,50,1562,3561,0.44,182,534,0.34,1016,1356,0.75,472,1316,1788,1093,452,203,785,1208,4322,31.2,71.2,0.44,3.6,10.7,0.34,20.3,27.1,0.75,9.4,26.3,35.8,21.9,9,4.1,15.7,24.2,86.4
NBA,1998,Dallas Mavericks,DAL,50,1749,4033,0.43,202,595,0.34,881,1210,0.73,645,1478,2123,921,352,292,692,1065,4581,35.0,80.7,0.43,4,11.9,0.34,17.6,24.2,0.73,12.9,29.6,42.5,18.4,7,5.8,13.8,21.3,91.6
NBA,1998,Denver Nuggets,DEN,50,1681,3989,0.42,302,922,0.33,1010,1325,0.76,647,1392,2039,969,376,275,739,1145,4674,33.6,79.8,0.42,6,18.4,0.33,20.2,26.5,0.76,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9,93.5
NBA,1998,Detroit Pistons,DET,50,1660,3716,0.45,248,679,0.37,950,1283,0.74,605,1412,2017,1009,444,208,790,1139,4518,33.2,74.3,0.45,5,13.6,0.37,19.0,25.7,0.74,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4
NBA,1998,Golden State Warriors,GSW,50,1730,4173,0.41,162,565,0.29,794,1175,0.68,816,1559,2375,1037,414,221,768,1270,4416,34.6,83.5,0.41,3.2,11.3,0.29,15.9,23.5,0.68,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4,88.3
NBA,1998,Houston Rockets,HOU,50,1755,3798,0.46,336,914,0.37,865,1187,0.73,536,1540,2076,1058,386,260,812,960,4711,35.1,76.0,0.46,6.7,18.3,0.37,17.3,23.7,0.73,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2
NBA,1998,Indiana Pacers,IND,50,1731,3866,0.45,294,799,0.37,977,1228,0.8,574,1452,2026,1005,316,223,649,1082,4733,34.6,77.3,0.45,5.9,16,0.37,19.5,24.6,0.8,11.5,29,40.5,20.1,6.3,4.5,13,21.6,94.7
NBA,1998,Los Angeles Clippers,LAC,50,1711,4007,0.43,214,668,0.32,883,1225,0.72,665,1293,1958,820,424,236,796,1223,4519,34.2,80.1,0.43,4.3,13.4,0.32,17.7,24.5,0.72,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4
NBA,1998,Los Angeles Lakers,LAL,50,1841,3935,0.47,241,685,0.35,1027,1503,0.68,619,1482,2101,1095,389,287,754,1231,4950,36.8,78.7,0.47,4.8,13.7,0.35,20.5,30.1,0.68,12.4,29.6,42,21.9,7.8,5.7,15.1,24.6,99.0
NBA,1998,Memphis Grizzlies,VAN,50,1643,3838,0.43,148,453,0.33,1009,1408,0.72,650,1359,2009,964,420,199,848,1123,4443,32.9,76.8,0.43,3,9.1,0.33,20.2,28.2,0.72,13,27.2,40.2,19.3,8.4,4,17,22.5,88.9
NBA,1998,Miami Heat,MIA,50,1616,3565,0.45,289,804,0.36,928,1262,0.74,503,1512,2015,1019,327,304,744,1035,4449,32.3,71.3,0.45,5.8,16.1,0.36,18.6,25.2,0.74,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89.0
NBA,1998,Milwaukee Bucks,MIL,50,1753,3818,0.46,231,619,0.37,847,1155,0.73,570,1369,1939,1030,442,202,719,1142,4584,35.1,76.4,0.46,4.6,12.4,0.37,16.9,23.1,0.73,11.4,27.4,38.8,20.6,8.8,4,14.4,22.8,91.7
NBA,1998,Minnesota Timberwolves,MIN,50,1838,4327,0.42,122,410,0.3,849,1143,0.74,754,1392,2146,1218,426,272,641,1185,4647,36.8,86.5,0.42,2.4,8.2,0.3,17.0,22.9,0.74,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7,92.9
NBA,1998,New York Knicks,NYK,50,1610,3704,0.43,208,589,0.35,892,1218,0.73,551,1510,2061,963,395,262,804,1140,4320,32.2,74.1,0.43,4.2,11.8,0.35,17.8,24.4,0.73,11,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4
NBA,1998,Oklahoma City Thunder,SEA,50,1756,3976,0.44,309,899,0.34,922,1354,0.68,676,1422,2098,1087,393,201,765,1047,4743,35.1,79.5,0.44,6.2,18,0.34,18.4,27.1,0.68,13.5,28.4,42,21.7,7.9,4,15.3,20.9,94.9
