League,Y,Franchise,Team,G,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OFF,DEF,REB,AST,STL,BLK,TO,PF,PTS,avgFGM,avgFGA,avgFG%,avg3FGM,avg3FGA,avg3FG%,avgFTM,avgFTA,avgFT%,avgOFF,avgDEF,avgREB,avgAST,avgSTL,avgBLK,avgTO,avgPF,avgPTS,Column1,impliedFGM,impliedFGA,impliedFG%,implied3FGM,implied3FGA,implied3FG%,impliedFTM,impliedFTA,impliedFT%,impliedREB,impliedAST,impliedSTL,impliedBLK,impliedTO,impliedPF,impliedPTS
NBA,1990,Miami Heat,MIA,82,3280,7139,0.46,140,464,0.3,1649,2307,0.71,1232,2302,3534,1904,756,387,1551,2080,8349,40.0,87.1,0.46,1.7,5.7,0.3,20.1,28.1,0.71,15,28.1,43.1,23.2,9.2,4.7,18.9,25.4,101.8,692,3280,7139,0.459448101975067,140,464,0.301724137931034,1649,2307,0.714781100996966,3534,1904,756,387,1510,2080,8349
NBA,1990,Milwaukee Bucks,MIL,82,3337,6948,0.48,257,753,0.34,1796,2241,0.8,1079,2162,3241,2075,894,330,1321,2033,8727,40.7,84.7,0.48,3.1,9.2,0.34,21.9,27.3,0.8,13.2,26.4,39.5,25.3,10.9,4,16.1,24.8,106.4,742,2752,5729,0.480363065107349,190,588,0.32312925170068,1399,1766,0.792185730464326,2913,1836,784,304,1100,1824,7093
NBA,1990,Minnesota Timberwolves,MIN,82,3265,7276,0.45,108,381,0.28,1531,2082,0.74,1275,2113,3388,1885,712,440,1062,1864,8169,39.8,88.7,0.45,1.3,4.6,0.28,18.7,25.4,0.74,15.5,25.8,41.3,23.0,8.7,5.4,13,22.7,99.6,787,3063,6824,0.448856975381008,108,381,0.283464566929134,1488,1993,0.746613146011039,3028,1810,676,357,924,1714,7722
NBA,1990,New York Knicks,NYK,82,3308,6822,0.48,185,558,0.33,1654,2147,0.77,1053,2436,3489,2172,638,418,1379,1764,8455,40.3,83.2,0.48,2.3,6.8,0.33,20.2,26.2,0.77,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1,974,3304,6810,0.485168869309838,185,558,0.331541218637993,1651,2144,0.770055970149254,3479,2172,638,417,1341,1758,8444
NBA,1990,Oklahoma City Thunder,SEA,82,3500,7117,0.49,136,427,0.32,1608,2143,0.75,1222,2173,3395,2042,861,380,1404,1973,8744,42.7,86.8,0.49,1.7,5.2,0.32,19.6,26.1,0.75,14.9,26.5,41.4,24.9,10.5,4.6,17.1,24.1,106.6,1317,2184,4410,0.495238095238095,67,213,0.314553990610329,974,1340,0.726865671641791,2366,1709,672,286,962,1454,5409
NBA,1990,Orlando Magic,ORL,82,3298,7256,0.45,270,754,0.36,1818,2447,0.74,1233,2429,3662,1809,602,306,1391,1976,8684,40.2,88.5,0.45,3.3,9.2,0.36,22.2,29.8,0.74,15,29.6,44.7,22.1,7.3,3.7,17,24.1,105.9,1026,2973,6613,0.449569030697112,270,754,0.358090185676393,1651,2176,0.758731617647059,2780,1722,547,213,1204,1529,7867
NBA,1990,Philadelphia 76ers,PHI,82,3289,6925,0.47,195,618,0.32,1868,2366,0.79,984,2496,3480,1824,678,479,1230,1629,8641,40.1,84.5,0.47,2.4,7.5,0.32,22.8,28.9,0.79,12,30.4,42.4,22.2,8.3,5.8,15,19.9,105.4,1088,2876,5980,0.480936454849498,193,604,0.31953642384106,1640,2086,0.786193672099712,2891,1708,625,410,1038,1452,7585
NBA,1990,Phoenix Suns,PHO,82,3573,7199,0.5,138,432,0.32,2064,2680,0.77,1132,2598,3730,2209,687,535,1302,1850,9348,43.6,87.8,0.5,1.7,5.3,0.32,25.2,32.7,0.77,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0,1129,2735,5612,0.487348538845331,132,404,0.326732673267327,1731,2204,0.785390199637024,2567,1980,576,316,976,1290,7333
NBA,1990,Portland Trail Blazers,POR,82,3577,7369,0.49,341,904,0.38,1912,2538,0.75,1202,2561,3763,2254,724,410,1309,1975,9407,43.6,89.9,0.49,4.2,11,0.38,23.3,31.0,0.75,14.7,31.2,45.9,27.5,8.8,5,16,24.1,114.7,1173,3045,6392,0.476376720901126,339,895,0.37877094972067,1634,2141,0.763194768799626,2847,2084,649,351,1094,1626,8063
NBA,1990,Sacramento Kings,SAC,82,3086,6818,0.45,216,578,0.37,1540,2105,0.73,1027,2218,3245,1991,631,513,1272,2075,7928,37.6,83.1,0.45,2.6,7,0.37,18.8,25.7,0.73,12.5,27,39.6,24.3,7.7,6.3,15.5,25.3,96.7,1220,2657,5894,0.45079742110621,215,577,0.37261698440208,1328,1770,0.750282485875706,2515,1809,517,334,1029,1653,6857
