TeamA,TeamB
GSW,BRO
LAC,LAL
CHA,CLE
NYK,IND
MIA,ORL
WAS,PHI
MIL,BOS
NOP,TOR
ATL,CHI
OCT,HOU
SAS,MEM
DET,MIN
SAC,DEN
UTA,POR
DAL,PHO
NOP,MIA
GSW,MIL
BRO,BOS
DAL,LAL
LAC,DEN
ATL,MEM
OCT,CHA
CLE,DET
ORL,WAS
PHI,NYK
IND,CHI
TOR,SAS
MIN,UTA
HOU,POR
PHO,SAC
DAL,LAC
BRO,CHA
ORL,WAS
SAS,NOP
PHI,CLE
MIL,NYK
BOS,IND
GSW,CHI
PHO,SAC
MIN,LAL
